Id;Name;Warmup;RunABC;MainEx;Ending;Material;DurationMin;DurationMax;Repeat;Disciplines[];Details[]
AchterInKurvenLaufen;8er in Kurven laufen;false;false;true;false;Hütchen;10;10;;Hochsprung:HochsprungOhneAnlage;5 Sprünge hoch auf Sitzsteine
AnhängerAbhängerStaffel;Anhänger - Abhänger Staffel;true;false;false;true;Seile;10;15;1 mal;Ausdauer;
AnhängerAbhängerStaffelHürde;Anhänger - Abhängerstaffel;true;false;false;true;Hürden, Hütchen, Seile;10;15;2-3 Runden;Ausdauer:Überlaufen;
Autofahren;Autofahren mit Gängen;true;false;true;false;Hütchen;10;15;2-3 Runden;Ausdauer;Selbst mitlaufen
BällePrellen;Bälle prellen;true;false;false;false;Bälle;5;10;2-3 Runden;Wurf;
BällePrellenRennen;Mit Bällen prellen und rennen;true;false;false;false;Bälle;5;10;2-3 Runden;Wurf;
BallInReifenDopsen;Ball in Reifen dopsen lassen;false;false;true;false;Bälle, Reifen;10;15;;Wurf;Zwei Kinder stehen sich immer gegenüber. Immer wenn ein Ball daneben geht machen beide Kinder 3 Liegestützen
BandKnotenHochspringen;Band schräg knoten und hochspringen lassen;false;false;true;false;Band;10;15;;Hochsprung:HochsprungOhneAnlage;
BandSchrägHochspringen;Band schräg nach unten und hochspringen in Kurve;false;false;true;false;Band, Hütchen (?);10;15;;Hochsprung:HochsprungOhneAnlage;
BeidbeinigeHürdensprünge;Beidbeinige Hürdensprünge;false;false;true;false;Hohe Hürden;10;10;;Ausdauer:Überlaufen;Die wartenden Kinder machen Standwagen
BeiWortRennen;Geschichte und immer bei Wörtern wird gerannt;false;false;true;false;Hütchen;10;10;;Schnelligkeit:Schnelllaufen;
Biathlon;Biathlon;false;false;false;true;Bälle, Hütchen;10;15;1 mal;Ausdauer;
Brennball;Brennball;false;false;false;true;Hütchen, Bälle;10;20;1 mal;Schnelligkeit:Schnelllaufen:Wurf;
BundesligaSprint;Bundesliga Sprint;false;false;true;true;;15;15;;Schnelligkeit:Schnelllaufen;
ChinesischeMauer;Chinesische Mauer;false;false;true;false;Hütchen;10;10;;Schnelligkeit:Schnelllaufen;
CrosslaufAufRasen;Crosslauf auf Rasen;true;false;false;true;Hürden, Hütchen;10;10;2-3 Runden;Ausdauer:Koordination:Überlaufen;
CrosslaufAufRasenIntervalle;Crosslauf auf Rasen mit Intervallbereichen;true;false;false;true;Hürden, Hütchen;10;10;1 mal;Ausdauer:Koordination:Staffellauf:Überlaufen;
DerFuchsGehtUm;Der Fuchs geht um;false;false;true;true;;10;10;;Schnelligkeit:Schnelllaufen;
Doppelbett;Doppelbett;false;false;true;true;;10;10;;Schnelligkeit:Schnelllaufen;
DurchReifenHüpfen;Durch Reifen hüpfen;false;false;true;false;Reifen;10;10;;WeitsprungOhneGrube:WeitsprungMitGrube;
EinlaufenBällePrellen;Einlaufen und Ball prellen;true;false;false;false;Bälle;10;10;2-3 Runden;Wurf;
EinlaufenMitSprungseil;Einlaufen mit Sprungseil;true;false;false;false;Sprungseil;10;10;2-3 Runden;Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen:Wurf;
FCRunde;FC Runde;true;false;false;true;;10;10;;Ausdauer;
FormenAblaufen;Formen ablaufen;true;false;false;true;Hütchen;10;15;je nach Rundengröße;Ausdauer;
FormenAblaufenAufRasen;Formen ablaufen auf Rasen;true;false;false;true;Hütchen;10;15;2-3 Runden;Ausdauer;
GeradeNachHintenFallenLassen;Gerade nach hinten fallen lassen auf Matte ;false;false;true;true;;5;5;;Hochsprung:HochsprungOhneAnlage;
HabichtUndHenne;Habicht und Henne;false;false;true;true;;10;10;;Schnelligkeit:Schnelllaufen;
HochsprungAnAnlage;Hochsprung an Anlage mit Hütchen als Absperrung, ggf. im Schersprung;false;false;true;false;Hütchen;10;10;;Hochsprung;5 Sprünge hoch auf Sitzsteine
Hunderunde;Hunderunde;true;false;false;true;;10;10;;Ausdauer;
HüpfenderTausendfüßler;Der hüpfende Tausendfüßler;false;false;true;false;Hütchen;10;10;;Stabweitsprung:WeitsprungOhneGrube:WeitsprungMitGrube;
Hürdenbahn;Hürdenbahn;false;false;true;false;Hürden, Medibälle;10;10;;Überlaufen;Die, die warten heben Medibälle vom Boden auf und strecken sie nach oben
HürdenbahnEinfach;Hürdenbahn;false;false;true;false;Hürden;10;15;;Überlaufen;
HürdenbahnMitSchwungbein;Hürdenbahn mit Schwungbeintraining / Training für Nachziehbein aufbauen;false;false;true;false;Bananenkisten, bunte Bälle;10;15;;Überlaufen;
HürdenbahnMitStaffel;Hürdenbahn und Staffel;false;false;true;false;Bloxx, Hürden;10;10;;Überlaufen;
HürdenlaufenAnHand;Hürdenlaufen an der Hand;false;false;true;false;Bananenkisten, Hütchen;10;10;;Ausdauer:Koordination;Kinder laufen an der Hand über die Hürden
HütchenAbwerfen;Abwerfen von Hütchen auf dem Boden;false;false;true;false;Hütchen, Bälle;15;15;;Wurf;
Klammerlauf_01;Klammerlauf;true;false;false;true;Klammern;10;15;1 mal;Ausdauer;
Klammerlauf_02;Klammerlauf;true;false;false;true;Klammern;10;15;2-3 Runden;Ausdauer;Wir verteilen uns auf der Bahn, damit jeder mehr Klammern bekommt
Klammerlauf_03;Klammerlauf mit Intervallbereichen;true;false;false;true;Klammern;10;15;1 mal;Ausdauer;Wir verteilen uns auf der Bahn, damit jeder mehr Klammern bekommt
KoordinationsLeiter;Koordinationsleiter;false;false;true;false;Koordinationsleiter;10;10;;Ausdauer:Koordination:Staffellauf:Überlaufen;Die wartenden Kinder machen Standwagen
