Id,Created_By,Created_At,Description,Disciplines[]
1,Anja,2025-02-14 12:00:00,Beispielplan 1,Ausdauer:WeitsprungMitGrube
2,Anja,2025-02-14 12:00:00,Beispielplan 2,Ausdauer:WeitsprungMitGrube
3,Anja,2025-02-14 12:00:00,Beispielplan 3,Ausdauer:WeitsprungOhneGrube:Wurf
4,Anja,2025-02-14 12:00:00,Beispielplan 4,Ausdauer:WeitsprungOhneGrube:Wurf
5,Anja,2025-02-14 12:00:00,Beispielplan 5,Ausdauer:WeitsprungOhneGrube:Wurf
6,Anja,2025-02-14 12:00:00,Beispielplan 6,Ausdauer:WeitsprungOhneGrube:Wurf
7,Anja,2025-02-14 12:00:00,Beispielplan 7,Ausdauer:Wurf
8,Anja,2025-02-14 12:00:00,Beispielplan 8,Ausdauer:Hochsprung
9,Anja,2025-02-14 12:00:00,Beispielplan 9,Ausdauer:Hochsprung
10,Anja,2025-02-14 12:00:00,Beispielplan 10,Schnelligkeit:HochsprungOhneAnlage
11,Anja,2025-02-14 12:00:00,Beispielplan 11,Schnelligkeit:HochsprungOhneAnlage
12,Anja,2025-02-14 12:00:00,Beispielplan 12,HochsprungOhneAnlage:Wurf
13,Anja,2025-02-14 12:00:00,Beispielplan 13,HochsprungOhneAnlage:Wurf
14,Anja,2025-02-14 12:00:00,Beispielplan 14,Ausdauer:Schnelligkeit
15,Anja,2025-02-14 12:00:00,Beispielplan 15,Ausdauer:Schnelligkeit
16,Anja,2025-02-14 12:00:00,Beispielplan 16,Schnelligkeit:Überlaufen
17,Anja,2025-02-14 12:00:00,Beispielplan 17,Schnelligkeit:Überlaufen
18,Anja,2025-02-14 12:00:00,Beispielplan 18,Schnelligkeit:Wurf
19,Anja,2025-02-14 12:00:00,Beispielplan 19,Schnelligkeit:Wurf
20,Anja,2025-02-14 12:00:00,Beispielplan 20,Ausdauer:Überlaufen
21,Anja,2025-02-14 12:00:00,Beispielplan 21,Ausdauer:Überlaufen
22,Anja,2025-02-14 12:00:00,Beispielplan 22,Überlaufen:Wurf
23,Anja,2025-02-14 12:00:00,Beispielplan 23,Überlaufen:Wurf
24,Anja,2025-02-14 12:00:00,Beispielplan 24,Ausdauer:Koordination
25,Anja,2025-02-14 12:00:00,Beispielplan 25,Ausdauer:Koordination
26,Anja,2025-02-14 12:00:00,Beispielplan 26,Ausdauer:Stabweitsprung
27,Anja,2025-02-14 12:00:00,Beispielplan 27,Ausdauer:Stabweitsprung
28,Anja,2025-02-14 12:00:00,Beispielplan 28,Ausdauer:Hochsprung
29,Anja,2025-02-14 12:00:00,Beispielplan 29,Ausdauer:Hochsprung
30,Anja,2025-02-14 12:00:00,Beispielplan 30,Ausdauer:Koordination
31,Anja,2025-02-14 12:00:00,Beispielplan 31,Hochsprung:Schnelligkeit
32,Anja,2025-02-14 12:00:00,Beispielplan 32,Schnelligkeit:Wurf
33,Anja,2025-02-14 12:00:00,Beispielplan 33,Ausdauer:Überlaufen
34,Anja,2025-02-14 12:00:00,Beispielplan 34,Ausdauer:Überlaufen
35,Anja,2025-02-14 12:00:00,Beispielplan 35,Schnelligkeit:Wurf
36,Anja,2025-02-14 12:00:00,Beispielplan 36,Staffellauf
37,Anja,2025-02-14 12:00:00,Beispielplan 37,Staffellauf:Überlaufen

Favorite_Id,Phase,Position,Exercise_Id,Duration
1,warmup,1,SeilspringenUndRunden,5
1,warmup,2,LaufABC_01,10
1,mainex,1,SeilspringenLangesSeil,10
1,mainex,2,Seilspringen,10
1,mainex,3,WeitsprungInGrubeMitBananenKiste,10
1,mainex,4,WeitsprungInGrube,10
1,ending,1,AnhängerAbhängerStaffel,10,
1,ending,2,Auslaufen,5
2,warmup,1,SeilspringenUndRunden,5
2,warmup,2,LaufABC_01,10
2,mainex,1,HüpfenderTausendfüßler,10
2,mainex,2,SteigesprüngeÜberBahn,10
